잊다
아프다
떠나다
행복하다
슬프다
힘들다
울다
그립다
밉다
떠나가다
지치다
좋아하다
바라다
헤어지다
설레다
고맙다
나쁘다
떨리다
외롭다
울리다
따뜻하다
견디다
잊혀지다
아끼다
미워하다
망설이다
불안하다
안기다
답답하다
즐기다
아쉽다
외로워
힘겹다
쓸쓸하다
수줍다
부드럽다
싸우다
잊어버리다
춤추다
서럽다
반하다
낯설다
즐겁다
사랑스럽다
설레임
감사하다
간절하다
자유롭다
괴롭다
웃기다
두근두근
두근거리다
부럽다
우울하다
지루하다
지겹다
향기롭다
신나다
피곤하다
무심하다
기대하다
반갑다
어리석다
다정하다
서글프다
헤어지자
안타깝다
약해지다
짜릿하다
아련하다
싫어지다
엇갈리다
불행하다
앓다
원망하다
버려진
짠하다
편안하다
기쁘다
싸늘하다
서운하다
공허하다
고요한
냉정하다
들뜨다
막막하다
황홀하다
싫어하다
재미없다
부질없다
화나다
실망하다
만족하다
재미있다
울먹이다
눈물나다
구차하다
역겹다
처량하다
차분하다
쓰라리다
안쓰럽다
따분하다
짜증나다
예민하다
한심하다
쑥스럽다
평온하다
까칠하다
용감하다
익숙하다
후련하다
무관심하다
분하다
씁쓸하다
후회되다
담담하다
갑갑하다
실패하다
침착하다
찡그리다
끔찍하다
울적하다
분한
죄송하다
허탈하다
무뚝뚝하다
사랑받다
웃음
행복
설레임
기쁨
희망
믿음
첫사랑
데이트
입맞춤
봄바람
축하
로맨틱
웃음소리
콧노래
콩닥콩닥
그리움
기다리다
인연
운명
후회
미우다
헤매다
예쁘다
눈물
원하다
소중하다
영원하다
영원
미소
반기다

